id,uuid,version,status,errorDescription,longTicker,shortTicker,pairName,longTickerEntryPrice,longTickerCurrentPrice,shortTickerEntryPrice,shortTickerCurrentPrice,meanEntry,meanCurrent,spreadEntry,spreadCurrent,zScoreEntry,zScoreCurrent,pValueEntry,pValueCurrent,adfPvalueEntry,adfPvalueCurrent,correlationEntry,correlationCurrent,alphaEntry,alphaCurrent,betaEntry,betaCurrent,stdEntry,stdCurrent,zScoreChanges,longUSDTChanges,longPercentChanges,shortUSDTChanges,shortPercentChanges,portfolioBeforeTradeUSDT,profitUSDTChanges,portfolioAfterTradeUSDT,profitPercentChanges,minutesToMinProfitPercent,minutesToMaxProfitPercent,minProfitPercentChanges,maxProfitPercentChanges,formattedTimeToMinProfit,formattedTimeToMaxProfit,formattedProfitLong,formattedProfitShort,formattedProfitCommon,timestamp,entryTime,updatedTime,maxZ,minZ,maxLong,minLong,maxShort,minShort,maxCorr,minCorr,exitReason,closeAtBreakeven,settingsTimeframe,settingsCandleLimit,settingsMinZ,settingsMinWindowSize,settingsMinPValue,settingsMaxAdfValue,settingsMinRSquared,settingsMinCorrelation,settingsMinVolume,settingsCheckInterval,settingsMaxLongMarginSize,settingsMaxShortMarginSize,settingsLeverage,settingsExitTake,settingsExitStop,settingsExitZMin,settingsExitZMax,settingsExitZMaxPercent,settingsExitTimeMinutes,settingsExitBreakEvenPercent,settingsUsePairs,settingsAutoTradingEnabled,settingsUseMinZFilter,settingsUseMinRSquaredFilter,settingsUseMinPValueFilter,settingsUseMaxAdfValueFilter,settingsUseMinCorrelationFilter,settingsUseMinVolumeFilter,settingsUseExitTake,settingsUseExitStop,settingsUseExitZMin,settingsUseExitZMax,settingsUseExitZMaxPercent,settingsUseExitTimeHours,settingsUseExitBreakEvenPercent,settingsMinimumLotBlacklist,useZScoreScoring,zScoreScoringWeight,usePixelSpreadScoring,pixelSpreadScoringWeight,useCointegrationScoring,cointegrationScoringWeight,useModelQualityScoring,modelQualityScoringWeight,useStatisticsScoring,statisticsScoringWeight,useBonusScoring,bonusScoringWeight,settingsUseExitNegativeZMinProfitPercent,settingsExitNegativeZMinProfitPercent
3,65f20d99-735a-4f7d-87e1-25559da0e7c8,28,CLOSED,,EIGEN-USDT-SWAP,OP-USDT-SWAP,EIGEN-USDT-SWAP/OP-USDT-SWAP,1.4267,1.4284,0.7762,0.7716,0.0,0.0,0.0,0.0,3.077815300857869,0.9483025360305931,1.3160077030435634E-200,2.564295201073908E-201,0.08713990668149424,0.17327770341323906,0.9764754414834707,0.9767352647636545,0.0,0.0,0.0,0.0,0.0,0.0,-2.13,0.03448275,0.75000000,0.12586290,2.33000000,73.757793620471,0.16034565,73.87034797047096,3.08000000,2,25,0.03395652,3.08000000,0.03%/2min,3.08%/25min,0.03$/0.75%,0.13$/2.33%,0.16$/3.08%,2025-08-17 11:07:23,2025-08-17 11:07:33,2025-08-17 11:33:12,3.07781530085787,0.948302536030593,0.78696200,-4.691299,5.470285,-0.38527,0.9767352647636545,0.967561140758266,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,false,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
5,7702a68e-bc51-46ba-9d6a-95c727c344c6,6,CLOSED,,BIO-USDT-SWAP,SLP-USDT-SWAP,BIO-USDT-SWAP/SLP-USDT-SWAP,0.10744,0.10862,0.001935,0.001937,0.0,0.0,0.0,0.0,4.660282950683598,3.9877574143736014,4.8900937860186723E-88,3.0403736388242958E-89,0.2597492838879917,0.2611901480186986,0.8575719388777492,0.8604130555353453,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.28289848,5.66000000,-0.01291645,-0.26000000,73.870347970471,0.26998203,74.09042306547096,5.40000000,3,4,-0.435265,5.40000000,-0.44%/3min,5.40%/4min,0.28$/5.66%,-0.01$/-0.26%,0.27$/5.40%,2025-08-17 13:14:43,2025-08-17 13:14:55,2025-08-17 13:19:12,4.6602829506836,3.9877574143736,5.72446100,-0.446739,0.766209,-1.815791,0.8604130555353453,0.857571938877749,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
8,43beda83-9a1e-410e-8781-112787fdeab6,4,CLOSED,,ACT-USDT-SWAP,SLP-USDT-SWAP,ACT-USDT-SWAP/SLP-USDT-SWAP,0.04198,0.04191,0.001931,0.001889,0.0,0.0,0.0,0.0,3.3353276018097784,3.3353276018097784,2.615203506369708E-131,2.0266508651028192E-130,0.1835885025143595,0.1835885025143595,0.9297143272461028,0.9287049856475317,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-0.03568215,-0.71000000,0.44052016,8.81000000,74.090423065471,0.40483801,74.44527651547095,8.10000000,1,1,-0.107077,8.10000000,-0.11%/1min,8.10%/1min,-0.04$/-0.71%,0.44$/8.81%,0.40$/8.10%,2025-08-17 13:20:32,2025-08-17 13:20:44,2025-08-17 13:22:12,3.33532760180978,3.3353276018097784,0.011781,-0.71000000,11.12806500,0.250065,0.929714327246103,0.9287049856475317,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
9,7a4b7ed9-1ff6-4614-bf00-5fd01897ac22,6,CLOSED,,BIO-USDT-SWAP,SLP-USDT-SWAP,BIO-USDT-SWAP/SLP-USDT-SWAP,0.12243,0.12127,0.001994,0.001951,0.0,0.0,0.0,0.0,3.286907252395557,3.286907252395557,4.3592184713097896E-97,7.412679841057518E-95,0.00913778909502628,0.00913778909502628,0.8774535980093514,0.8728482858763039,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-0.22521733,-4.50000000,0.55159566,11.03000000,74.445276515471,0.32637833,74.72181673047096,6.53000000,1,2,-1.1956095,6.53000000,-1.20%/1min,6.53%/2min,-0.23$/-4.50%,0.55$/11.03%,0.33$/6.53%,2025-08-17 15:00:30,2025-08-17 15:00:41,2025-08-17 15:03:12,3.28690725239556,3.286907252395557,1.791333,-4.50000000,11.03000000,-0.251352,0.877453598009351,0.8728482858763039,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
11,9273f956-d157-43e9-a678-4fea6774c858,14,CLOSED,,AI16Z-USDT-SWAP,FARTCOIN-USDT-SWAP,AI16Z-USDT-SWAP/FARTCOIN-USDT-SWAP,0.1291,0.1293,0.9981,0.9924,0.0,0.0,0.0,0.0,3.8361071871914554,2.819148277104175,1.065736023118836E-131,1.801525857694693E-130,5.828438806040477E-4,0.0014652215950058983,0.9301521300672357,0.9287634348398967,0.0,0.0,0.0,0.0,0.0,0.0,-1.02,0.05787105,1.16000000,0.14007000,2.80000000,74.630114680471,0.19794105,74.79108693047095,3.96000000,1,10,-0.100656,3.96000000,-0.10%/1min,3.96%/10min,0.06$/1.16%,0.14$/2.80%,0.20$/3.96%,2025-08-17 18:50:27,2025-08-17 18:50:38,2025-08-17 19:01:15,3.83610718719146,2.819148277104175,1.16000000,-0.908837,3.09952500,-0.450475,0.930352408198249,0.92813528835297,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
12,f27a53bd-35c2-4ad6-b3bb-55cd35fe543c,11,CLOSED,,ACT-USDT-SWAP,FARTCOIN-USDT-SWAP,ACT-USDT-SWAP/FARTCOIN-USDT-SWAP,0.04159,0.04153,0.9895,0.9805,0.0,0.0,0.0,0.0,3.070578839549103,2.376786572469254,2.1737209280938514E-111,5.2729183553758E-111,0.24899713750006836,0.17180629945459014,0.903057774874332,0.9024487335730862,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,-0.04797600,-0.96000000,0.25012500,5.00000000,74.822186930471,0.20214900,75.00274443047095,4.04000000,1,7,0.0384575,4.04000000,0.04%/1min,4.04%/7min,-0.05$/-0.96%,0.25$/5.00%,0.20$/4.04%,2025-08-17 19:10:27,2025-08-17 19:10:37,2025-08-17 19:18:15,3.0705788395491,1.90434526304677,0.12954,-0.96000000,5.00000000,-0.052625,0.90333047165357,0.89010961506012,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
13,58a31759-6983-4f39-abc7-81a87245e585,109,CLOSED,,EIGEN-USDT-SWAP,STRK-USDT-SWAP,EIGEN-USDT-SWAP/STRK-USDT-SWAP,1.3788,1.3524,0.1397,0.1361,0.0,0.0,0.0,0.0,3.372786037582697,-3.3062510897583337,3.7676693901000937E-150,3.7743682611789076E-144,5.055504684303086E-5,0.06605116385994542,0.9479543192490196,0.9427460950841351,0.0,0.0,0.0,0.0,0.0,0.0,-6.68,-0.49375300,-9.14000000,0.55787880,12.13000000,74.913893000471,0.06412580,74.31811080047095,2.99000000,70,105,-0.77846018,2.99000000,-0.78%/70min,2.99%/105min,-0.49$/-9.14%,0.56$/12.13%,0.06$/2.99%,2025-08-17 20:25:27,2025-08-17 20:25:36,2025-08-17 22:11:14,3.3727860375827,-3.45113345903005,2.529604,-11.333359,15.222943,-1.177057,0.948068241447079,0.928962606779007,EXIT_REASON_BY_NEGATIVE_Z_MIN_PROFIT,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
14,86646b86-9b7a-4f27-ad6b-bc62fc542705,14,CLOSED,,AI16Z-USDT-SWAP,FARTCOIN-USDT-SWAP,AI16Z-USDT-SWAP/FARTCOIN-USDT-SWAP,0.123,0.1221,0.9344285714285715,0.9162,0.0,0.0,0.0,0.0,3.0163452263030366,1.3029342965496586,5.4191815197500035E-111,1.5679542506104597E-112,0.06217851785217219,0.008768647504662164,0.9024298644725758,0.9048413455203826,0.0,0.0,0.0,0.0,0.0,0.0,-1.71,-0.17181405,-3.66000000,0.54147060,10.22000000,74.135010800471,0.36965655,74.39181035047096,6.56000000,1,10,-0.25571494,6.56000000,-0.26%/1min,6.56%/10min,-0.17$/-3.66%,0.54$/10.22%,0.37$/6.56%,2025-08-17 22:15:28,2025-08-17 22:15:37,2025-08-17 22:26:16,3.01634522630304,1.3029342965496586,-0.56284,-3.66000000,10.22000000,0.156264,0.9048413455203826,0.891358346059884,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
15,78e5031f-ba63-4662-aa46-7b0df54f4d9c,8,CLOSED,,GMT-USDT-SWAP,MAGIC-USDT-SWAP,GMT-USDT-SWAP/MAGIC-USDT-SWAP,0.04214,0.04206,0.2391042452830191,0.23694,0.0,0.0,0.0,0.0,3.567731595761002,3.567731595761002,1.9065550127340505E-138,6.819932380089411E-142,0.021247569054828122,0.021247569054828122,0.9372973357566176,0.9406508456960841,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-0.04645676,-0.95000000,0.25073531,4.92000000,74.781310350471,0.20427855,74.91216050547098,3.97000000,1,4,-0.04785773,3.97000000,-0.05%/1min,3.97%/4min,-0.05$/-0.95%,0.25$/4.92%,0.20$/3.97%,2025-08-17 23:25:28,2025-08-17 23:25:38,2025-08-17 23:30:15,3.567731595761002,3.567731595761,0.486973,-0.95000000,4.92000000,0.007893,0.9406508456960841,0.937297335756618,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
16,5ada5c18-7c30-4049-9279-13f0959d89b5,62,CLOSED,,FIL-USDT-SWAP,PI-USDT-SWAP,FIL-USDT-SWAP/PI-USDT-SWAP,2.456,2.485,0.3748,0.3765,0.0,0.0,0.0,0.0,3.687376872536317,0.5085736728269898,2.0884162308926952E-117,8.125347159108744E-134,0.16519470979029832,0.12121103460892607,0.9120768582757084,0.9324814458694592,0.0,0.0,0.0,0.0,0.0,0.0,-3.18,0.29275355,5.86000000,-0.12422256,-2.48000000,75.080860505471,0.16853099,75.44464514547099,3.38000000,38,56,-0.1858865,3.38000000,-0.19%/38min,3.38%/56min,0.29$/5.86%,-0.12$/-2.48%,0.17$/3.38%,2025-08-17 23:40:29,2025-08-17 23:40:39,2025-08-18 00:37:15,3.68737687253632,0.5085736728269898,6.10605600,-0.155944,0.536171,-3.159829,0.933168657766857,0.911750054131728,EXIT_REASON_BY_TAKE,false,5m,300.0,3.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,LINK-USDT-SWAP,true,5.0,false,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,1.0
