id,uuid,version,status,errorDescription,longTicker,shortTicker,pairName,longTickerEntryPrice,longTickerCurrentPrice,shortTickerEntryPrice,shortTickerCurrentPrice,meanEntry,meanCurrent,spreadEntry,spreadCurrent,zScoreEntry,zScoreCurrent,pValueEntry,pValueCurrent,adfPvalueEntry,adfPvalueCurrent,correlationEntry,correlationCurrent,alphaEntry,alphaCurrent,betaEntry,betaCurrent,stdEntry,stdCurrent,zScoreChanges,longUSDTChanges,longPercentChanges,shortUSDTChanges,shortPercentChanges,portfolioBeforeTradeUSDT,profitUSDTChanges,portfolioAfterTradeUSDT,profitPercentChanges,minutesToMinProfitPercent,minutesToMaxProfitPercent,minProfitPercentChanges,maxProfitPercentChanges,formattedTimeToMinProfit,formattedTimeToMaxProfit,formattedProfitLong,formattedProfitShort,formattedProfitCommon,timestamp,entryTime,updatedTime,maxZ,minZ,maxLong,minLong,maxShort,minShort,maxCorr,minCorr,exitReason,closeAtBreakeven,settingsTimeframe,settingsCandleLimit,settingsMinZ,settingsMinWindowSize,settingsMinPValue,settingsMaxAdfValue,settingsMinRSquared,settingsMinCorrelation,settingsMinVolume,settingsCheckInterval,settingsMaxLongMarginSize,settingsMaxShortMarginSize,settingsLeverage,settingsExitTake,settingsExitStop,settingsExitZMin,settingsExitZMax,settingsExitZMaxPercent,settingsExitTimeMinutes,settingsExitBreakEvenPercent,settingsUsePairs,settingsAutoTradingEnabled,settingsUseMinZFilter,settingsUseMinRSquaredFilter,settingsUseMinPValueFilter,settingsUseMaxAdfValueFilter,settingsUseMinCorrelationFilter,settingsUseMinVolumeFilter,settingsUseExitTake,settingsUseExitStop,settingsUseExitZMin,settingsUseExitZMax,settingsUseExitZMaxPercent,settingsUseExitTimeHours,settingsUseExitBreakEvenPercent,settingsMinimumLotBlacklist,useZScoreScoring,zScoreScoringWeight,usePixelSpreadScoring,pixelSpreadScoringWeight,useCointegrationScoring,cointegrationScoringWeight,useModelQualityScoring,modelQualityScoringWeight,useStatisticsScoring,statisticsScoringWeight,useBonusScoring,bonusScoringWeight,settingsUseExitNegativeZMinProfitPercent,settingsExitNegativeZMinProfitPercent,settingsAutoAveragingEnabled,settingsAveragingDrawdownThreshold,settingsAveragingVolumeMultiplier,averagingCount,lastAveragingTimestamp
2,f8daa9e5-4927-48d3-8b68-b16d80e43b32,655,CLOSED,,ETHW-USDT-SWAP,GMX-USDT-SWAP,ETHW-USDT-SWAP/GMX-USDT-SWAP,1.542,1.602,14.91,15.21,0.0,0.0,0.0,0.0,3.5911861272637693,-1.811831585893501,1.8898865904475824E-166,1.0910825789731933E-124,0.565621413464022,0.3652720519397306,0.9597841201889845,0.9218277479852519,0.0,0.0,0.0,0.0,0.0,0.0,-5.40,0.75763635,18.94000000,-0.63421000,-10.57000000,71.3062984094912,0.12342635,71.38001295949121,8.37000000,126,655,-4.0232062,8.37000000,-4.02%/126min,8.37%/655min,0.76$/18.94%,-0.63$/-10.57%,0.12$/8.37%,2025-08-20 10:23:39,2025-08-20 10:23:49,2025-08-20 21:19:12,3.66044250691058,-1.811831585893501,22.127322,-0.396353,0.915167,-18.034167,0.95990196622318,0.89805018167224,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,1.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
6,571c50ce-e29c-46fe-9276-4d80cc16b046,117,CLOSED,,IP-USDT-SWAP,NEO-USDT-SWAP,IP-USDT-SWAP/NEO-USDT-SWAP,5.8009,5.8237,6.682,6.654,0.0,0.0,0.0,0.0,3.687770396282741,2.2340129423834263,3.4901944082948383E-72,3.924110323531518E-62,0.7185832257819232,0.44374767107351754,0.8136948295389306,0.778098677427502,0.0,0.0,0.0,0.0,0.0,0.0,-1.45,0.06769294,1.69000000,0.10005000,1.67000000,71.3800129594912,0.16774294,71.50362519949121,3.36000000,15,113,-4.8303464,3.36000000,-4.83%/15min,3.36%/113min,0.07$/1.69%,0.10$/1.67%,0.17$/3.36%,2025-08-20 22:15:29,2025-08-20 22:15:39,2025-08-21 00:09:11,4.23696575929026,2.18250201479946,3.157534,-2.827466,2.08940000,-7.5106,0.813937789915261,0.755459700501371,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,1.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,ETH-USDT-SWAP,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
22,fd2f1e0a-6761-4e8d-bb07-64abb2ff3bc0,87,CLOSED,,AUCTION-USDT-SWAP,NMR-USDT-SWAP,AUCTION-USDT-SWAP/NMR-USDT-SWAP,9.57,9.629,8.183,8.319,0.0,0.0,0.0,0.0,4.084243516947525,3.159733831902424,3.2766711640085616E-108,1.643413697551002E-98,0.5640285954426285,0.8855052784080713,0.8979050327816996,0.8802990994244286,0.0,0.0,0.0,0.0,0.0,0.0,-0.92,0.06341080,1.59000000,0.12693528,2.12000000,71.5036251994912,0.19034608,71.39239872949122,3.71000000,105,117,-63.1785602,23.70729600,-63.18%/105min,23.71%/117min,0.06$/1.59%,0.13$/2.12%,0.19$/3.71%,2025-08-21 15:50:33,2025-08-21 15:50:45,2025-08-21 17:48:12,4.88143925718757,3.04876650352428,44.506273,-1.184675,28.15338000,-134.968449,0.898207536976607,0.8802990994244286,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,"ETH-USDT-SWAP,LTC-USDT-SWAP,TRB-USDT-SWAP",true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,3,2025-08-21 17:37:21
82,9c147a5f-542f-4c6d-9dd7-7cb2436de478,4,CLOSED,,CRV-USDT-SWAP,EGLD-USDT-SWAP,CRV-USDT-SWAP/EGLD-USDT-SWAP,0.9051,0.9051,15.97,15.97,0.0,0.0,0.0,0.0,2.3632827331485498,2.3632827331485498,3.4856270793811994E-170,3.1836249222520095E-170,0.33294631106928463,0.33294631106928463,0.9620830047981014,0.9621065081023906,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-0.00995610,0E-8,-0.01437300,0E-8,66.2206723720796,-0.02432910,66.30269967207957,0E-8,1,1,-0.02260687,0.13975033,-0.02%/1min,0.14%/1min,-0.01$/0.00%,-0.01$/0.00%,-0.02$/0.00%,2025-08-23 00:30:13,2025-08-23 00:30:46,2025-08-23 00:33:12,2.36328273314855,2.3632827331485498,0.49718300,-0.110485,0.313087,-0.31308700,0.9621065081023906,0.962047995305299,EXIT_REASON_MANUALLY,false,15m,300.0,2.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,false,true,true,true,true,true,true,true,false,false,false,false,false,true,"ETH-USDT-SWAP,LTC-USDT-SWAP,TRB-USDT-SWAP,COMP-USDT-SWAP,AVAX-USDT-SWAP,BNB-USDT-SWAP,ENS-USDT-SWAP,YFI-USDT-SWAP,BTC-USDT-SWAP,GMX-USDT-SWAP,AAVE-USDT-SWAP,SSV-USDT-SWAP",true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
61,0473ca73-fb8e-4a1f-993b-2ac5c7bcb979,649,CLOSED,,RAY-USDT-SWAP,SUSHI-USDT-SWAP,RAY-USDT-SWAP/SUSHI-USDT-SWAP,3.526,3.526,0.8678,0.8678,0.0,0.0,0.0,0.0,5.204612546648934,0.14798430343577332,4.90603767918333E-148,2.595361836374662E-151,0.003496343086364421,0.001058168692300621,0.9461769832114585,0.9489050639605343,0.0,0.0,0.0,0.0,0.0,0.0,-5.06,-0.01484091,0E-8,-0.00829632,0E-8,70.6519317277118,-0.02313723,66.32289447207955,0E-8,96,657,-10.54072592,1.76025639,-10.54%/96min,1.76%/657min,-0.01$/0.00%,-0.01$/0.00%,-0.02$/0.00%,2025-08-22 13:40:28,2025-08-22 13:40:37,2025-08-23 00:38:34,5.28892459393601,-0.0729710876237691,10.138968,-17.782189,10.889606,-20.511639,0.9489050639605343,0.898170199901895,EXIT_REASON_MANUALLY,false,15m,300.0,2.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,false,true,true,true,true,true,true,true,false,false,false,false,false,true,"ETH-USDT-SWAP,LTC-USDT-SWAP,TRB-USDT-SWAP,COMP-USDT-SWAP,AVAX-USDT-SWAP,BNB-USDT-SWAP,ENS-USDT-SWAP,YFI-USDT-SWAP,BTC-USDT-SWAP,GMX-USDT-SWAP,AAVE-USDT-SWAP,SSV-USDT-SWAP",true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
83,0badd6e0-7551-4fae-b7e8-c0e7306e3932,3,CLOSED,,CRV-USDT-SWAP,EGLD-USDT-SWAP,CRV-USDT-SWAP/EGLD-USDT-SWAP,0.9102,0.9102,15.99388888888889,15.9938888888889,0.0,0.0,0.0,0.0,2.3632827331485498,2.3632827331485498,1.2471251549597688E-170,1.3165285198031193E-170,0.33294631106928463,0.33294631106928463,0.9623486864666778,0.9623347346261343,0.0,0.0,0.0,0.0,0.0,0.0,0.00,-0.00955710,0E-8,-0.01439450,0E-8,66.7932944720796,-0.02395160,66.70920047207957,0E-8,1,1,-0.16804744,0.06367023,-0.17%/1min,0.06%/1min,-0.01$/0.00%,-0.01$/0.00%,-0.02$/0.00%,2025-08-23 00:41:12,2025-08-23 00:41:26,2025-08-23 00:42:53,2.36328273314855,2.3632827331485498,0,-0.60426300,0.434194,0,0.962348686466678,0.9623347346261343,EXIT_REASON_MANUALLY,false,15m,300.0,2.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,false,true,true,true,true,true,true,true,false,false,false,false,false,true,"ETH-USDT-SWAP,LTC-USDT-SWAP,TRB-USDT-SWAP,COMP-USDT-SWAP,AVAX-USDT-SWAP,BNB-USDT-SWAP,ENS-USDT-SWAP,YFI-USDT-SWAP,BTC-USDT-SWAP,GMX-USDT-SWAP,AAVE-USDT-SWAP,SSV-USDT-SWAP",true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
89,a4893c52-e6a9-44b1-a154-8b04aaed74b4,4,CLOSED,,CRV-USDT-SWAP,RAY-USDT-SWAP,CRV-USDT-SWAP/RAY-USDT-SWAP,0.913,0.9124,3.5889,3.5983,0.0,0.0,0.0,0.0,3.9132650106940665,3.8899069691328423,2.3638321670578239E-181,1.8463525238783395E-178,0.5458895807602422,0.5176243045597604,0.9681913819731612,0.9667125213692218,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.01916880,0E-8,-0.02696400,0E-8,66.2532004720796,-0.04613280,66.66559562207955,0E-8,1,1,-0.0276379,0.13656201,-0.03%/1min,0.14%/1min,-0.02$/0.00%,-0.03$/0.00%,-0.05$/0.00%,2025-08-23 00:58:55,2025-08-23 00:59:27,2025-08-23 01:01:35,3.91326501069407,3.88990696913284,0,-1.04075400,0.97352000,0,0.968191381973161,0.9667125213692218,EXIT_REASON_MANUALLY,false,15m,300.0,2.0,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,false,true,true,true,true,true,true,true,false,false,false,false,false,true,"ETH-USDT-SWAP,LTC-USDT-SWAP,TRB-USDT-SWAP,COMP-USDT-SWAP,AVAX-USDT-SWAP,BNB-USDT-SWAP,ENS-USDT-SWAP,YFI-USDT-SWAP,BTC-USDT-SWAP,GMX-USDT-SWAP,AAVE-USDT-SWAP,SSV-USDT-SWAP,INJ-USDT-SWAP",true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,1,2025-08-23 01:00:19
92,e5b44654-8825-4ad9-b19d-ede7a9c1fe81,18,CLOSED,,EIGEN-USDT-SWAP,TIA-USDT-SWAP,EIGEN-USDT-SWAP/TIA-USDT-SWAP,1.4611,1.4604,1.9,1.884,0.0,0.0,0.0,0.0,3.548518266670622,2.6058473205762764,4.64501971460353E-149,6.2145641263166E-147,0.9688573104443282,0.8269505460343929,0.9470450877891174,0.9452255496582108,0.0,0.0,0.0,0.0,0.0,0.0,-0.94,-0.02421535,0E-8,0.14148400,0E-8,67.0384956220796,0.11726865,66.50416427207956,0E-8,1,14,-0.05668155,2.20028200,-0.06%/1min,2.20%/14min,-0.02$/0.00%,0.14$/0.00%,0.12$/0.00%,2025-08-23 02:30:33,2025-08-23 02:30:41,2025-08-23 02:45:17,3.54851826667062,2.6058473205762764,0.718637,-1.163507,4.21052600,0E-8,0.947482418771513,0.9452255496582108,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,10.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,METIS-USDT-SWAP,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
93,00b27779-b054-458f-8a4f-f917522f43f9,22,CLOSED,,AR-USDT-SWAP,ORDI-USDT-SWAP,AR-USDT-SWAP/ORDI-USDT-SWAP,7.275,7.255,10.277,10.165,0.0,0.0,0.0,0.0,3.6965279387526375,3.8610803940662777,9.780035497984344E-155,8.961811395049725E-152,0.9705117921362238,0.9797063616481299,0.9516043787310626,0.949277977618154,0.0,0.0,0.0,0.0,0.0,0.0,0.16,-0.07331565,0E-8,0.27484895,0E-8,66.7315642720796,0.20153330,67.17129757207955,0E-8,2,14,-0.84334753,2.73835206,-0.84%/2min,2.74%/14min,-0.07$/0.00%,0.27$/0.00%,0.20$/0.00%,2025-08-23 03:20:33,2025-08-23 03:20:41,2025-08-23 03:35:47,3.86108039406628,3.69652793875264,0.137457,-2.817869,5.44906100,-0.82709,0.951680809018275,0.948083475572604,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,METIS-USDT-SWAP,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
94,c10a2e59-5918-4061-aff6-86c58ad2346c,10,CLOSED,,LPT-USDT-SWAP,ORDI-USDT-SWAP,LPT-USDT-SWAP/ORDI-USDT-SWAP,6.777,6.728,10.193,10.064,0.0,0.0,0.0,0.0,3.9634825328831425,3.3268709770730713,7.874419366027102E-227,4.1528270099801313E-224,0.9192468406553151,0.8441609354521903,0.9843750399923319,0.9836982447849622,0.0,0.0,0.0,0.0,0.0,0.0,-0.64,-0.15610700,0E-8,0.34182590,0E-8,67.2501975720795,0.18571890,67.45151647207956,0E-8,1,6,-0.1205306,2.44049171,-0.12%/1min,2.44%/6min,-0.16$/0.00%,0.34$/0.00%,0.19$/0.00%,2025-08-23 03:40:31,2025-08-23 03:40:40,2025-08-23 03:47:19,3.96348253288314,3.32687097707307,0.073779,-3.61516900,6.32787200,-0.245266,0.98454599110844,0.983414242522379,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,5.0,5.0,5.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,METIS-USDT-SWAP,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
