id,uuid,version,status,errorDescription,longTicker,shortTicker,pairName,longTickerEntryPrice,longTickerCurrentPrice,shortTickerEntryPrice,shortTickerCurrentPrice,meanEntry,meanCurrent,spreadEntry,spreadCurrent,zScoreEntry,zScoreCurrent,pValueEntry,pValueCurrent,adfPvalueEntry,adfPvalueCurrent,correlationEntry,correlationCurrent,alphaEntry,alphaCurrent,betaEntry,betaCurrent,stdEntry,stdCurrent,zScoreChanges,longUSDTChanges,longPercentChanges,shortUSDTChanges,shortPercentChanges,portfolioBeforeTradeUSDT,profitUSDTChanges,portfolioAfterTradeUSDT,profitPercentChanges,minutesToMinProfitPercent,minutesToMaxProfitPercent,minProfitPercentChanges,maxProfitPercentChanges,formattedTimeToMinProfit,formattedTimeToMaxProfit,formattedProfitLong,formattedProfitShort,formattedProfitCommon,timestamp,entryTime,updatedTime,maxZ,minZ,maxLong,minLong,maxShort,minShort,maxCorr,minCorr,exitReason,closeAtBreakeven,settingsTimeframe,settingsCandleLimit,settingsMinZ,settingsMinWindowSize,settingsMinPValue,settingsMaxAdfValue,settingsMinRSquared,settingsMinCorrelation,settingsMinVolume,settingsCheckInterval,settingsMaxLongMarginSize,settingsMaxShortMarginSize,settingsLeverage,settingsExitTake,settingsExitStop,settingsExitZMin,settingsExitZMax,settingsExitZMaxPercent,settingsExitTimeMinutes,settingsExitBreakEvenPercent,settingsUsePairs,settingsAutoTradingEnabled,settingsUseMinZFilter,settingsUseMinRSquaredFilter,settingsUseMinPValueFilter,settingsUseMaxAdfValueFilter,settingsUseMinCorrelationFilter,settingsUseMinVolumeFilter,settingsUseExitTake,settingsUseExitStop,settingsUseExitZMin,settingsUseExitZMax,settingsUseExitZMaxPercent,settingsUseExitTimeHours,settingsUseExitBreakEvenPercent,settingsMinimumLotBlacklist,useZScoreScoring,zScoreScoringWeight,usePixelSpreadScoring,pixelSpreadScoringWeight,useCointegrationScoring,cointegrationScoringWeight,useModelQualityScoring,modelQualityScoringWeight,useStatisticsScoring,statisticsScoringWeight,useBonusScoring,bonusScoringWeight,settingsUseExitNegativeZMinProfitPercent,settingsExitNegativeZMinProfitPercent,settingsAutoAveragingEnabled,settingsAveragingDrawdownThreshold,settingsAveragingVolumeMultiplier,averagingCount,lastAveragingTimestamp
51,42d53874-20d1-47b6-a0c6-17389a386b1c,3366,CLOSED,При обновлении не найдены позиции на бирже,FARTCOIN-USDT-SWAP,SSV-USDT-SWAP,FARTCOIN-USDT-SWAP/SSV-USDT-SWAP,0.9281,0.9522,9.238,9.559,0.0,0.0,0.0,0.0,4.684029825068075,-2.679958996975021,4.470653577418409E-78,6.2317168534666264E-117,1.0,0.9656324381745169,0.8315435419409614,0.9113983735870677,0.0,0.0,0.0,0.0,0.0,0.0,-7.36,-0.11092202,0E-8,0.36425973,0E-8,72.2720390358788,0.25333771,75.43303000416014,0E-8,491,3517,-30.69273848,1.28146633,-30.69%/491min,1.28%/3517min,-0.11$/0.00%,0.36$/0.00%,0.25$/0.00%,2025-08-22 11:20:29,2025-08-22 11:20:39,2025-08-24 21:58:15,4.68402982506807,-3.31838399679778,22.548421,-24.454123,8.950821,-59.024564,0.942282390278365,0.815915277061962,EXIT_REASON_BY_BREAKEVEN,true,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,"METIS-USDT-SWAP,XAUT-USDT-SWAP,BTC-USDT-SWAP,AUCTION-USDT-SWAP,COMP-USDT-SWAP,BNB-USDT-SWAP,HYPE-USDT-SWAP,ORDI-USDT-SWAP,TAO-USDT-SWAP,INJ-USDT-SWAP",true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,3,2025-08-22 13:34:59
171,b44d748a-efdd-4a94-8bb7-aa9e877d1dd2,461,CLOSED,,EIGEN-USDT-SWAP,LINK-USDT-SWAP,EIGEN-USDT-SWAP/LINK-USDT-SWAP,1.376875,1.2833,26.233,24.534,0.0,0.0,0.0,0.0,3.7071882996358063,-1.7662279256370454,1.3691446211483516E-123,1.8037323952356495E-92,0.47893657440216086,0.2565425108914262,0.9204323010624367,0.8677145707149628,0.0,0.0,0.0,0.0,0.0,0.0,-5.47,-1.53580284,0E-8,2.01974064,0E-8,75.4500300041601,0.48393780,76.69833832798446,0E-8,262,515,-2.05862093,2.02677660,-2.06%/262min,2.03%/515min,-1.54$/0.00%,2.02$/0.00%,0.48$/0.00%,2025-08-24 22:00:29,2025-08-24 22:00:39,2025-08-25 06:36:21,3.98452098312939,-2.00740765149487,2.167953,-13.94099,13.037014,-1.265582,0.920432301062437,0.838609903149057,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
120,18a81c2b-7fc2-4aaa-9e9f-56e1e3869661,1647,CLOSED,,AXS-USDT-SWAP,CRV-USDT-SWAP,AXS-USDT-SWAP/CRV-USDT-SWAP,2.421,2.3,0.8895,0.83,0.0,0.0,0.0,0.0,3.5163472985206736,-1.3862275930158008,3.742985702533328E-108,3.9660300106772474E-86,0.2605734912048421,0.03205959326405879,0.8978087086925717,0.8529466180420116,0.0,0.0,0.0,0.0,0.0,0.0,-4.90,-1.52905359,0E-8,1.94677923,0E-8,72.2220944956107,0.41772564,76.84555170138206,0E-8,1051,1693,-3.24333723,1.96900204,-3.24%/1051min,1.97%/1693min,-1.53$/0.00%,1.95$/0.00%,0.42$/0.00%,2025-08-24 03:30:32,2025-08-24 03:30:41,2025-08-25 08:08:57,3.84771001777615,-2.79225878896803,9.748038,-11.895911,14.50253,-11.354694,0.897874295540875,0.807997822489333,EXIT_REASON_MANUALLY,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
187,7dc3d9c0-0725-4e12-a804-04fed3aa7537,58,CLOSED,,LDO-USDT-SWAP,MAGIC-USDT-SWAP,LDO-USDT-SWAP/MAGIC-USDT-SWAP,1.2655,1.2536,0.21024,0.20105,0.0,0.0,0.0,0.0,4.37321074421434,2.597428921189245,1.1588710757452665E-137,2.372588808345784E-149,0.9481941083014005,0.6255582392666765,0.9365077215811204,0.9472898498206807,0.0,0.0,0.0,0.0,0.0,0.0,-1.78,-0.29663880,0E-8,1.00545372,0E-8,76.5936156350046,0.70881492,76.56043055500459,0E-8,33,56,-0.89876163,3.32848056,-0.90%/33min,3.33%/56min,-0.30$/0.00%,1.01$/0.00%,0.71$/0.00%,2025-08-25 16:15:32,2025-08-25 16:15:42,2025-08-25 17:12:22,4.37321074421434,2.597428921189245,1.201106,-2.070328,8.74239000,-0.703957,0.9472898498206807,0.936439527861786,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
188,8f17f3ec-9413-4c5c-b338-b3f12bfea035,120,CLOSED,,AI16Z-USDT-SWAP,ETHW-USDT-SWAP,AI16Z-USDT-SWAP/ETHW-USDT-SWAP,0.0982,0.102,1.605,1.616,0.0,0.0,0.0,0.0,4.709043626334603,1.743515814064793,1.2100072827390212E-85,7.153950956355395E-101,0.5823788046012557,0.21005331684899864,0.8517470217978768,0.8848636728023058,0.0,0.0,0.0,0.0,0.0,0.0,-2.97,1.05478535,0E-8,-0.26405340,0E-8,76.6351305550046,0.79073195,77.93436250500459,0E-8,5,116,-3.1313847,3.00452679,-3.13%/5min,3.00%/116min,1.05$/0.00%,-0.26$/0.00%,0.79$/0.00%,2025-08-25 17:15:30,2025-08-25 17:15:40,2025-08-25 19:12:20,4.7090436263346,1.74351581406479,7.73930800,-6.924644,0.747664,-2.367601,0.8848636728023058,0.849585937131669,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
170,693c3f1a-1e61-41f5-925b-39a8ab98dd82,2447,CLOSED,,TRUMP-USDT-SWAP,WLD-USDT-SWAP,TRUMP-USDT-SWAP/WLD-USDT-SWAP,8.638,8.294,0.9782,0.9021,0.0,0.0,0.0,0.0,3.6546553298707374,0.169795498385695,8.671907517132987E-243,2.8027999708518054E-277,0.9542554168684556,0.044560524223452164,0.9878107678429907,0.9928647644334869,0.0,0.0,0.0,0.0,0.0,0.0,-3.48,-0.31640461,-0.08139863,0.37651146,0.15396093,72.6705955091601,0.06010685,78.23747132083133,1.11475155,1710,1070,-1.24597095,1.92365179,-1.25%/1710min,1.92%/1070min,-0.32$/-0.08%,0.38$/0.15%,0.06$/1.11%,2025-08-24 16:15:32,2025-08-24 16:15:41,2025-08-26 10:12:16,4.28172706333668,-2.10585487834955,2.407965,-14.031026,23.471683,-2.514823,0.99336450697483,0.968707978030099,EXIT_REASON_BY_BREAKEVEN,true,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
189,bbcfb341-d651-4e16-9bae-1cc5411bd84e,798,CLOSED,,ENS-USDT-SWAP,SSV-USDT-SWAP,ENS-USDT-SWAP/SSV-USDT-SWAP,23.637,24.226,8.792,8.925,0.0,0.0,0.0,0.0,3.7587551472661236,0.32928499973834074,1.4801444144853225E-243,2.7122515345353192E-266,0.7657692276410101,0.29393117862919926,0.9879554083136294,0.9915389696815239,0.0,0.0,0.0,0.0,0.0,0.0,-3.43,0.57120389,0.04833134,-0.59194007,-0.03452673,78.0024861483282,-0.02073618,78.29373037083136,0.24222456,660,274,-2.076443,1.9531886,-2.08%/660min,1.95%/274min,0.57$/0.05%,-0.59$/-0.03%,-0.02$/0.24%,2025-08-25 21:45:33,2025-08-25 21:45:44,2025-08-26 11:03:34,3.83455181192058,-0.330166224727445,5.178322,-0.575369,2.77525,-6.55141,0.992872163858123,0.983997491633478,EXIT_REASON_MANUALLY,true,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,false,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
186,2211f29b-135f-4c55-80ac-4e87b593729c,1382,CLOSED,,ORDI-USDT-SWAP,TIA-USDT-SWAP,ORDI-USDT-SWAP/TIA-USDT-SWAP,8.806,8.596,1.711,1.657,0.0,0.0,0.0,0.0,3.424151633370579,-0.9913932451830936,1.4631406791118914E-183,9.607556991285021E-296,0.12077358254747889,0.00575288709906825,0.9692752806191399,0.9946407923184348,0.0,0.0,0.0,0.0,0.0,0.0,-4.42,-0.81943364,-0.05029947,0.82083277,0.06396515,76.8132517013821,0.00139913,78.31022082083133,0.11446036,314,42,-3.20720072,0.70931966,-3.21%/314min,0.71%/42min,-0.82$/-0.05%,0.82$/0.06%,0.00$/0.11%,2025-08-25 11:59:30,2025-08-25 11:59:40,2025-08-26 11:05:31,3.42415163337058,-2.50445235868861,1.930502,-17.056552,14.728229,-1.519579,0.994643779496203,0.96595399967271,EXIT_REASON_MANUALLY,true,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,false,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
192,a191b7f1-4380-4c0f-8e3c-f5f0e33e9e09,74,CLOSED,,FARTCOIN-USDT-SWAP,LPT-USDT-SWAP,FARTCOIN-USDT-SWAP/LPT-USDT-SWAP,0.7924,0.7855,6.579,6.45,0.0,0.0,0.0,0.0,4.484066510978535,3.2992430855832926,9.584039103315406E-139,2.3024709125976454E-121,0.998341919114591,0.9906110973904892,0.9375955790188587,0.917524766410237,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,-0.24783110,-0.01839765,0.54739500,0.03328135,78.3102208208313,0.29956390,78.60978472083134,1.37173575,5,32,-4.62392572,1.43791601,-4.62%/5min,1.44%/32min,-0.25$/-0.02%,0.55$/0.03%,0.30$/1.37%,2025-08-26 12:45:35,2025-08-26 12:45:46,2025-08-26 13:58:16,4.48406651097854,3.29924308558329,1.489147,-3.508329,3.92156900,-7.873537,0.937693114035979,0.915577851691715,EXIT_REASON_BY_BREAKEVEN,true,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,false,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
13,3c6ea45d-ed4e-47d2-b872-b5bc09a73609,262,CLOSED,,PI-USDT-SWAP,UMA-USDT-SWAP,PI-USDT-SWAP/UMA-USDT-SWAP,0.3396,0.3397,1.449,1.421,0.0,0.0,0.0,0.0,3.140617815186414,0.9533032288796839,1.5405495430915312E-170,5.787817046760456E-146,0.35158543987679736,0.5787446794261846,0.9622942226581641,0.9443750802679213,0.0,0.0,0.0,0.0,0.0,0.0,-2.19,-0.03067018,-0.00210029,0.56205442,0.03676694,78.44132761,0.53138424,78.96618958583132,2.00556041,24,256,-1.34126233,2.00556041,-1.34%/24min,2.01%/256min,-0.03$/0.00%,0.56$/0.04%,0.53$/2.01%,2025-08-26 23:00:29,2025-08-26 23:00:39,2025-08-27 03:17:19,3.55053483,0.9533032288796839,1.47232000,-0.58892800,3.86473400,-3.45065600,0.96240708,0.94089780,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,"BCH-USDT-SWAP,SOL-USDT-SWAP",true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0,
