id,uuid,version,status,errorDescription,longTicker,shortTicker,pairName,longTickerEntryPrice,longTickerCurrentPrice,shortTickerEntryPrice,shortTickerCurrentPrice,meanEntry,meanCurrent,spreadEntry,spreadCurrent,zScoreEntry,zScoreCurrent,pValueEntry,pValueCurrent,adfPvalueEntry,adfPvalueCurrent,correlationEntry,correlationCurrent,alphaEntry,alphaCurrent,betaEntry,betaCurrent,stdEntry,stdCurrent,zScoreChanges,longUSDTChanges,longPercentChanges,shortUSDTChanges,shortPercentChanges,portfolioBeforeTradeUSDT,profitUSDTChanges,portfolioAfterTradeUSDT,profitPercentChanges,minutesToMinProfitPercent,minutesToMaxProfitPercent,minProfitPercentChanges,maxProfitPercentChanges,formattedTimeToMinProfit,formattedTimeToMaxProfit,formattedProfitLong,formattedProfitShort,formattedProfitCommon,timestamp,entryTime,updatedTime,maxZ,minZ,maxLong,minLong,maxShort,minShort,maxCorr,minCorr,exitReason,closeAtBreakeven,settingsTimeframe,settingsCandleLimit,settingsMinZ,settingsMinWindowSize,settingsMinPValue,settingsMaxAdfValue,settingsMinRSquared,settingsMinCorrelation,settingsMinVolume,settingsCheckInterval,settingsMaxLongMarginSize,settingsMaxShortMarginSize,settingsLeverage,settingsExitTake,settingsExitStop,settingsExitZMin,settingsExitZMax,settingsExitZMaxPercent,settingsExitTimeMinutes,settingsExitBreakEvenPercent,settingsUsePairs,settingsAutoTradingEnabled,settingsUseMinZFilter,settingsUseMinRSquaredFilter,settingsUseMinPValueFilter,settingsUseMaxAdfValueFilter,settingsUseMinCorrelationFilter,settingsUseMinVolumeFilter,settingsUseExitTake,settingsUseExitStop,settingsUseExitZMin,settingsUseExitZMax,settingsUseExitZMaxPercent,settingsUseExitTimeHours,settingsUseExitBreakEvenPercent,settingsMinimumLotBlacklist,useZScoreScoring,zScoreScoringWeight,usePixelSpreadScoring,pixelSpreadScoringWeight,useCointegrationScoring,cointegrationScoringWeight,useModelQualityScoring,modelQualityScoringWeight,useStatisticsScoring,statisticsScoringWeight,useBonusScoring,bonusScoringWeight,settingsUseExitNegativeZMinProfitPercent,settingsExitNegativeZMinProfitPercent,settingsAutoAveragingEnabled,settingsAveragingDrawdownThreshold,settingsAveragingVolumeMultiplier,settingsAveragingDrawdownMultiplier,settingsMaxAveragingCount,averagingCount,lastAveragingTimestamp,lastAveragingProfitPercent,formattedAveragingCount
76,ec2b220a-f9da-4f7a-8ed2-84f43a72eef1,2267,CLOSED,,CRV-USDT-SWAP,TRUMP-USDT-SWAP,CRV-USDT-SWAP/TRUMP-USDT-SWAP,0.786,0.7593,8.448,8.374,0.0,0.0,0.0,0.0,3.7957306217305407,-1.9543715998648135,1.6433856236878845E-113,0.01609406697736252,0.04725288683816181,0.36580494357013316,0.9063438717332023,0.13886109675545238,0.0,0.0,0.0,0.0,0.0,0.0,-5.75,-1.46334797,-0.06441784,1.43565786,0.04636801,82.74470387,-0.02769011,82.75050314556415,0.43777162,1372,2578,-9.76765536,0.87980464,-9.77%/1372min,0.88%/2578min,-1.46$/-0.06%,1.44$/0.05%,-0.03$/0.44%,2025-08-31 04:45:28,2025-08-31 04:45:38,2025-09-02 00:57:17,7.64833845,-2.00381833,0.50890600,-15.99013900,8.71157600,-14.49604000,0.90799624,0.02467275,EXIT_REASON_MANUALLY,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,XAUT-USDT-SWAP,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,1.5,1,1,2025-08-31 17:33:14,-5.05084438,1/1
111,1920c556-7e56-4586-84bb-afe3bd772ad2,700,CLOSED,,ORDI-USDT-SWAP,WLD-USDT-SWAP,ORDI-USDT-SWAP/WLD-USDT-SWAP,8.439,8.448,0.8756,0.8707,0.0,0.0,0.0,0.0,2.8059272838244116,-0.9132358012544592,3.6677128674158474E-144,2.917663744835201E-220,0.3143577919642335,0.10862038994272255,0.9427574382156924,0.9826911319088514,0.0,0.0,0.0,0.0,0.0,0.0,-3.72,-0.01047123,-0.00062041,0.13631479,0.01073666,82.71970315,0.12584356,82.41685327744958,0.60236380,462,588,-1.00056062,1.43805563,-1.00%/462min,1.44%/588min,-0.01$/0.00%,0.14$/0.01%,0.13$/0.60%,2025-09-02 01:12:28,2025-09-02 01:12:38,2025-09-02 12:54:14,2.80592728,-1.25578154,3.91041600,-5.78267600,5.39058900,-2.53540400,0.98271518,0.94275744,EXIT_REASON_MANUALLY,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,,0/0
114,ed274144-fa7b-4dab-bf0b-2b45db3c49cb,115,CLOSED,,AR-USDT-SWAP,BIO-USDT-SWAP,AR-USDT-SWAP/BIO-USDT-SWAP,6.166285714285714,6.18,0.14589,0.14267,0.0,0.0,0.0,0.0,3.525267083190778,-0.5280296166925245,3.8573992044575963E-106,2.8473568358486787E-117,0.8193249270648901,0.00368070854310249,0.8943922028799751,0.9118850327058692,0.0,0.0,0.0,0.0,0.0,0.0,-4.05,0.01984160,0.00114920,0.49632642,0.04050071,82.58547328,0.51616802,83.12369129938527,2.09263979,1,121,-0.02818367,2.09263979,-0.03%/1min,2.09%/121min,0.02$/0.00%,0.50$/0.04%,0.52$/2.09%,2025-09-02 13:03:28,2025-09-02 13:03:39,2025-09-02 15:05:04,3.52526708,-0.96081181,1.28811000,-2.14994000,6.70368100,0.04050071,0.91190883,0.89439220,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,,0/0
115,956adce1-0a2a-4958-8217-ebec3696adf0,308,CLOSED,,INJ-USDT-SWAP,SSV-USDT-SWAP,INJ-USDT-SWAP/SSV-USDT-SWAP,12.9086,13.066,9.070305555555555,8.991,0.0,0.0,0.0,0.0,3.918645877082652,-0.3635374440030334,4.881964640492071E-121,3.617734036715831E-128,0.193651431706705,0.07754455803519901,0.9170891313801695,0.92608136314245,0.0,0.0,0.0,0.0,0.0,0.0,-4.28,0.29822240,0.02310261,0.22302529,0.01366028,82.99519765,0.52124769,83.55131862717991,2.05328168,12,305,-0.53531461,2.05328168,-0.54%/12min,2.05%/305min,0.30$/0.02%,0.22$/0.01%,0.52$/2.05%,2025-09-02 17:00:28,2025-09-02 17:00:38,2025-09-02 22:06:01,4.14736646,-0.3635374440030334,3.44576500,-0.53607700,3.00553400,-1.29421100,0.92650626,0.91690921,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,,0/0
117,f448680c-aba2-45e0-a217-3d4cfedec8d1,142,CLOSED,,AUCTION-USDT-SWAP,PI-USDT-SWAP,AUCTION-USDT-SWAP/PI-USDT-SWAP,9.528918918918919,9.694,0.346,0.3461,0.0,0.0,0.0,0.0,3.6946181030827283,0.5998287079732215,1.125678384220388E-98,7.673029042350771E-89,0.06302313573841652,0.008323975740924989,0.8806229671908088,0.8594731313959871,0.0,0.0,0.0,0.0,0.0,0.0,-3.09,0.57693675,0.03272750,-0.03768090,-0.00315665,83.22877301,0.53925585,84.04741886163386,2.04258369,1,139,-0.05648431,2.04258369,-0.06%/1min,2.04%/139min,0.58$/0.03%,-0.04$/0.00%,0.54$/2.04%,2025-09-03 05:15:31,2025-09-03 05:15:41,2025-09-03 07:35:10,3.69461810,0.5998287079732215,3.61176500,-0.01928700,0.40462400,-0.80924900,0.88068903,0.8594731313959871,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,COMP-USDT-SWAP,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,,0/0
112,c9c6a24e-fbe5-4b44-83d2-89df6e854ac8,1990,CLOSED,,LPT-USDT-SWAP,MAGIC-USDT-SWAP,LPT-USDT-SWAP/MAGIC-USDT-SWAP,6.766,6.861,0.19931,0.19818,0.0,0.0,0.0,0.0,2.597448496399439,-3.631832896655224,4.98771693993537E-119,2.7724807074980555E-48,0.33113220615733985,0.6772753260031421,0.9143537768519918,0.7152271338227172,0.0,0.0,0.0,0.0,0.0,0.0,-6.23,0.35765188,0.02643008,0.08137827,0.00763178,82.76282895,0.43903015,84.78413052262903,2.07199496,1500,1996,-2.11470829,2.07199496,-2.11%/1500min,2.07%/1996min,0.36$/0.03%,0.08$/0.01%,0.44$/2.07%,2025-09-02 01:15:27,2025-09-02 01:15:37,2025-09-03 10:32:04,4.16343900,-3.85169256,2.80815800,-5.79367400,4.27474800,-3.38166700,0.94593376,0.7152271338227172,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,,0/0
121,f356dd6b-f567-4a92-be34-3c52d94236b4,2745,CLOSED,,AUCTION-USDT-SWAP,PI-USDT-SWAP,AUCTION-USDT-SWAP/PI-USDT-SWAP,9.715,9.706,0.3515,0.3467,0.0,0.0,0.0,0.0,5.017009054908648,-1.2541509055734252,2.1483040984899278E-79,5.274790532664268E-32,0.023800000445646056,0.38628711410567357,0.8352709684969922,0.6103178217809078,0.0,0.0,0.0,0.0,0.0,0.0,-6.27,-0.06323022,-0.00406782,0.25578602,0.02466775,84.66872992,0.19255580,83.76852695833072,0.98210385,779,2748,-2.57507445,0.98210385,-2.58%/779min,0.98%/2748min,-0.06$/0.00%,0.26$/0.02%,0.19$/0.98%,2025-09-03 11:15:34,2025-09-03 11:15:44,2025-09-05 09:03:59,5.46967698,-2.73540678,0.67936200,-7.74060700,6.48648600,-3.69843500,0.83531252,0.58531603,EXIT_REASON_MANUALLY,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,,0/0
120,0734ef18-59e2-4122-8e6f-1a377b9a5887,2982,CLOSED,,BIO-USDT-SWAP,LPT-USDT-SWAP,BIO-USDT-SWAP/LPT-USDT-SWAP,0.148,0.15117,6.849617021276596,6.799,0.0,0.0,0.0,0.0,3.7550401548797177,-0.997696847791193,2.3353347610567123E-94,2.2436136587057797E-13,0.976967196389406,0.37157270466722925,0.8717940902221942,0.4066551054096499,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,0.81758394,0.05940017,0.12289985,0.00763514,84.85813052,0.94048379,86.08381476450441,2.78613955,298,2986,-10.92147571,2.78613955,-10.92%/298min,2.79%/2986min,0.82$/0.06%,0.12$/0.01%,0.94$/2.79%,2025-09-03 11:07:30,2025-09-03 11:07:44,2025-09-05 12:54:51,4.95636170,-4.11919514,4.28378400,-26.45945900,8.98202100,-16.09967300,0.87186262,0.19058432,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,BTC-USDT-SWAP,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,-10.04748421,0/0
123,f3afbf61-fbd4-4497-9d42-894ab919624b,331,CLOSED,,ETHFI-USDT-SWAP,FIL-USDT-SWAP,ETHFI-USDT-SWAP/FIL-USDT-SWAP,1.16745,1.156,2.375,2.31,0.0,0.0,0.0,0.0,4.169758577185929,-2.183463284530637,6.309819664165149E-100,8.560078313251865E-127,0.019445212769798007,0.06605959298352686,0.8830586765298148,0.9244311533633944,0.0,0.0,0.0,0.0,0.0,0.0,-6.35,-0.25008744,-0.02142168,0.74209020,0.05295916,83.68588696,0.49200276,86.3216247645044,2.09478055,89,326,-0.37606564,2.09478055,-0.38%/89min,2.09%/326min,-0.25$/-0.02%,0.74$/0.05%,0.49$/2.09%,2025-09-05 09:05:29,2025-09-05 09:05:40,2025-09-05 14:32:49,4.16975858,-2.183463284530637,0.04282800,-8.23161600,6.40000000,-0.16842100,0.92573207,0.88273317,EXIT_REASON_BY_TAKE,false,15m,300.0,3.5,100.0,0.1,0.1,0.8,0.8,15.0,1.0,15.0,15.0,2.0,2.0,-5.0,0.0,0.5,0.0,60.0,1.0,3.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,,0/0
74,ed4eb68c-25ba-4dc2-8aa8-8371d8256400,10765,CLOSED,,ENS-USDT-SWAP,LDO-USDT-SWAP,ENS-USDT-SWAP/LDO-USDT-SWAP,23.328,22.536,1.2272,1.1974,0.0,0.0,0.0,0.0,3.6375528579226732,-0.08268559698953652,3.758616030393306E-213,2.5469327126194538E-87,0.8671790106250039,0.24014676624770293,0.9806613752288964,0.8558543312365012,0.0,0.0,0.0,0.0,0.0,0.0,-3.72,-1.30062478,-0.07433841,0.58578665,0.05024589,82.85103859,-0.71483813,53.649435954129316,-2.11073629,356,327,-5.12341213,0.45276183,-5.12%/356min,0.45%/327min,-1.30$/-0.07%,0.59$/0.05%,-0.71$/-2.11%,2025-08-31 04:15:27,2025-08-31 04:15:37,2025-09-08 01:15:42,4.75751837,-4.36731311,1.17455400,-15.41495200,15.56388500,-4.22099100,0.98066138,0.82099883,EXIT_REASON_MANUALLY,true,15m,300.0,2.0,100.0,0.1,0.1,0.8,0.8,15.0,1.0,500.0,500.0,2.0,1.5,-5.0,0.0,0.5,0.0,60.0,1.0,2.0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,true,5.0,false,0.5,false,0.0,0.0,0.0,0,0,,0E-8,0/0
